Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage Load Test,550,2502,446,7110,1883.02,44.545%,1.32214,39.10,0.34,30286.7
TOTAL,550,2502,446,7110,1883.02,44.545%,1.32214,39.10,0.34,30286.7
